trr_rd_no,statute,description,subject_no,trr_report_id
JA358047,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19511633,103971
JA358047,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19511633,103971
JA358047,9-64-125,CITY VEH STICKER REQ/FAILURE TO OR IMPROPER DISPLAY,19511633,103971
JA358047,9-76-160(D),LIC PLATES NOT VISABLE/OR COVERED,19511633,103971
JA358047,625 ILCS 5.0/11-203,IVC - OBEDIENCE TO POLICE OFFICERS,19511633,103972
JA358047,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19511633,103972
JA358047,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19511633,103972
JA358047,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19511633,103972
JA358047,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19511633,103972
JA358047,9-64-125,CITY VEH STICKER REQ/FAILURE TO OR IMPROPER DISPLAY,19511633,103972
JA358047,9-76-160(D),LIC PLATES NOT VISABLE/OR COVERED,19511633,103972
JA357454,720 ILCS 5.0/10-2-A-6,KIDNAPING/ARMED WITH FIREARM,19511493,103973
JA357454,720 ILCS 5.0/12-3.05-E-2,AGG BTRY/DISCH FIR/PC OFF/DUTY,19511493,103973
JA357454,720 ILCS 5.0/18-2-A-2,ROBBERY - ARMED W/ FIREARM,19511493,103973
JA357454,720 ILCS 5.0/18-4-A-4,VEHICULAR HIJACKING - AGG - FIREARM,19511493,103973
JA357454,720 ILCS 5.0/24-1.2-A-3,AGGR DISCHARGE FIREARM - PO/FIREMAN,19511493,103973
JA357454,720 ILCS 5.0/9-1-A-1,MURDER - FIRST DEGREE,19511493,103973
JA357454,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19511493,103973
JA358206,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHORIZED CON/$500,19511715,103974
JA358206,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19511715,103974
JA358287,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19511755,103976
JA358287,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,19511755,103976
JA358287,720 ILCS 5.0/16-1-A-4-C,THEFT/STOLEN/PROB DPRV <$500  ,19511755,103976
JA358287,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19511755,103976
JA358493,520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19511800,103979
JA358493,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19511800,103979
JA358493,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19511800,103979
JA359298,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19511971,103987
JA359362,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19511999,103988
JA359362,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19511999,103988
JA359389,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19512068,103989
JA359389,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19512068,103989
JA359389,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19512068,103989
JA359389,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512068,103989
JA359389,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19512068,103989
JA359337,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512002,103990
JA359337,720 ILCS 550.0/4-C,CANNABIS - POSSESS 10-30 GRMS,19512002,103990
JA359337,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19512002,103990
JA359337,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512002,103991
JA359337,720 ILCS 550.0/4-C,CANNABIS - POSSESS 10-30 GRMS,19512002,103991
JA359337,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19512002,103991
JA359434,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512014,103992
JA359434,8-4-010(B),DISORDERLY CONDUCT - OFFENSIVE ACT OR GESTURE,19512014,103992
JA359469,625 ILCS 5.0/11-204-A,IVC - FLEE/ATTEMPT ELUDE POLICE,19512027,103993
JA359469,625 ILCS 5.0/11-204.1-A-3,IVC - AGG FLEEING/DAMAGE>$300 PROP,19512027,103993
JA359469,625 ILCS 5.0/11-501-A,IVC - AGG DUI/NO VALID DL,19512027,103993
JA359469,625 ILCS 5.0/11-501-A-1,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL BAC 0.08,19512027,103993
JA359469,625 ILCS 5.0/11-501-A-2,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,19512027,103993
JA359469,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19512027,103993
JA359469,625 ILCS 5.0/6-101,DRIVING/NEVER ISSUED LICENSE,19512027,103993
JA359469,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19512027,103993
JA359469,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19512027,103993
JA359469,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512027,103993
JA359552,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19512066,103996
JA359552,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512066,103996
JA359552,9-40-250(B),OBSTRUCTION DRIVERS VIEW,19512066,103996
JA359552,9-76-140(A),"MUFFLER CUT OUT,BYPASS,ETC-VIOLATION",19512066,103996
JA359669,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19512101,103998
JA359669,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512101,103998
JA359669,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19512101,103999
JA359669,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512101,103999
JA359669,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19512101,104000
JA359669,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512101,104000
JA359669,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19512101,104001
JA359669,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512101,104001
JA359976,10-8-515,SOLICITING UNLAWFUL BUSINESS,19512167,104002
JA359976,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19512167,104002
JA359976,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512167,104002
JA359976,10-8-515,SOLICITING UNLAWFUL BUSINESS,19512167,104003
JA359976,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19512167,104003
JA359976,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512167,104003
JA360413,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19512284,104004
JA360413,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19512284,104004
JA360413,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19512284,104005
JA360413,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19512284,104005
JA360498,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON POSS/USE FIREARM/PAROLE,19512316,104006
JA360498,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512316,104006
JA360498,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON POSS/USE FIREARM/PAROLE,19512316,104007
JA360498,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512316,104007
JA360644,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19512392,104008
JA360644,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19512392,104008
JA361385,510 ILCS 70.0/4.03,ANIMAL - TEASE POLICE ANIMAL,19512652,104010
JA361385,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512652,104010
JA361385,9-80-180,OBSTRUCTION OF TRAFFIC BY NON-MOTORIST,19512652,104010
JA361999,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19512812,104014
JA361999,625 ILCS 5.0/6-101,UNLICENSED,19512812,104014
JA361999,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19512812,104014
JA361999,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512812,104014
JA361999,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19512812,104014
JA361999,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19512812,104014
JA361999,9-76-180,SAFETY BELTS,19512812,104014
JA362011,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19512814,104015
JA362197,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19512870,104016
JA362197,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",19512870,104016
JA362197,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512870,104016
JA362205,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,19512885,104018
JA362205,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512885,104018
JA362205,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,19512885,104019
JA362205,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512885,104019
JA362205,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,19512885,104020
JA362205,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19512885,104020
JA362721,720 ILCS 5.0/16-1-A-1-A,THEFT CONTROL INTENT<$500,19513044,104021
JA362721,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19513044,104021
JA362820,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19513070,104022
JA362820,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19513070,104022
JA362820,720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,19513070,104022
JA362820,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19513070,104022
JA363265,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19513141,104023
JA363265,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHORIZED CON/$500,19513141,104023
JA363265,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19513141,104023
JA363184,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19513132,104024
JA363184,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19513132,104024
JA363184,9-52-020,RIDING BICYCLE ON SIDEWALK,19513132,104024
JA362807,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,1951317,104025
JA362807,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,1951317,104025
JA362807,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,1951317,104025
JA363265,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19513141,104026
JA363265,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHORIZED CON/$500,19513141,104026
JA363265,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19513141,104026
JA362816,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19513177,104027
JA362816,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19513177,104027
JA362816,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,19513177,104027
JA363237,625 ILCS 5.0/11-1204-B,IVC - DISREGARD STOP SIGN,19513198,104028
JA363237,625 ILCS 5.0/12-603.1,DRIVER/SEATBELT/CHILD 6<16,19513198,104028
JA363237,625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/PASSENGER,19513198,104028
JA363237,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19513198,104028
JA363237,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19513198,104028
JA363237,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19513198,104028
JA363237,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19513198,104028
JA363421,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19513223,104029
JA363421,720 ILCS 5.0/18-1-A,ROBBERY,19513223,104029
JA363421,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19513223,104029
JA195132,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19513290,104031
JA195132,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19513290,104031
JA195132,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19513290,104031
JA195132,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19513290,104031
JA195132,720 ILCS 550.0/4-B,POSS CAN/>10-30 GRAMS/1ST,19513290,104031
JA364374,720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,19513538,104032
JA364374,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19513538,104032
JA364374,720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,19513538,104034
JA364374,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19513538,104034
JA364487,720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,19513599,104035
JA364498,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19513597,104036
JA364498,625 ILCS 5.0/4-104-A-2,POSS TITLE/REGISTRATION W/O ASSIGNMENT,19513597,104036
JA364498,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19513597,104036
JA364498,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19513597,104036
JA364498,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19513597,104036
JA364754,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19513655,104037
JA364754,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19513655,104038
JA364802,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON POSSES WEAPON/2ND+,19513709,104039
JA364802,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19513709,104039
JA364802,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON POSSES WEAPON/2ND+,19513709,104040
JA364802,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19513709,104040
JA364738,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19513640,104041
JA364738,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19513640,104041
JA364738,720 ILCS 550.0/5-E,CANNABIS - MFG/DEL - 500-2000 GRMS,19513640,104041
JA364738,720 ILCS 600.0/3.5-A,PCS - DRUG PARAPHERNALIA - POSSESS,19513640,104041
JA364738,9-24-010(B),STOP AT STOP SIGN,19513640,104041
JA364738,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19513640,104043
JA364738,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19513640,104043
JA364738,720 ILCS 550.0/5-E,CANNABIS - MFG/DEL - 500-2000 GRMS,19513640,104043
JA364738,720 ILCS 600.0/3.5-A,PCS - DRUG PARAPHERNALIA - POSSESS,19513640,104043
JA364738,9-24-010(B),STOP AT STOP SIGN,19513640,104043
JA365032,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19513829,104048
JA365032,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19513829,104048
JA365032,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19513829,104048
JA365338,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19513912,104049
JA377374,235 ILCS 5.0/6-20-D,PURCHASE/POSSESS LIQUOR/MINOR,19517963,104178
JA365338,720 ILCS 5.0/12-3.05-D-6,AGG BATTERY/GOVERNMENT EMP,19513912,104049
JA365338,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19513912,104049
JA365459,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19513949,104052
JA365507,720 ILCS 5.0/18-2-A-2,ROBBERY - ARMED W/ FIREARM,19513963,104059
JA365507,720 ILCS 5.0/18-4-A-4,VEHICULAR HIJACKING - AGG - FIREARM,19513963,104059
JA365507,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19513963,104059
JA365675,720 ILCS 5.0/28-1-A-1,GAMBLING - PLAY GAME OF CHANCE,19514014,104060
JA365675,720 ILCS 570.0/402-A-1,PCS - POSSESSION - 15+GRMS - HEROIN,19514014,104060
JA366325,10-8-526,CTA - ALCOHOL/DRUGS ON (98-126-1.4),19514178,104071
JA366325,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19514178,104071
JA366309,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19514230,104072
JA366443,2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,1951428,104074
JA366443,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,1951428,104074
JA366529,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19514328,104076
JA366529,720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19514328,104076
JA366520,625 ILCS 5.0/6-101,DRIVING/NEVER ISSUED LICENSE,19514328,104077
JA366520,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19514328,104077
JA366520,720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,19514328,104077
JA366520,720 ILCS 5.0/21-2-A,CRIMINAL TRESPASS TO VEHICLES ,19514328,104077
JA366520,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19514328,104077
JA366520,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19514328,104077
JA366520,9-20-010(B),ONE WAY STREET/ALLEY SIGNS POSTED,19514328,104077
JA366520,9-24-010(B),STOP AT STOP SIGN,19514328,104077
JA366573,720 ILCS 5.0/24-1.6-A-2,AGG UUW/PERSON/NO FOID        ,19514338,104079
JA366573,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19514338,104079
JA366573,720 ILCS 5.0/24-1.6-A-2,AGG UUW/PERSON/NO FOID        ,,104080
JA366573,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,,104080
JA366520,625 ILCS 5.0/6-101,DRIVING/NEVER ISSUED LICENSE,1951433,104081
JA366520,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,1951433,104081
JA366520,720 ILCS 5.0/19-4-A-1,CRIM TRESPASS TO RESIDENCE,1951433,104081
JA366520,720 ILCS 5.0/21-2-A,CRIMINAL TRESPASS TO VEHICLES ,1951433,104081
JA366520,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,1951433,104081
JA366520,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,1951433,104081
JA366520,9-20-010(B),ONE WAY STREET/ALLEY SIGNS POSTED,1951433,104081
JA366520,9-24-010(B),STOP AT STOP SIGN,1951433,104081
JA366573,720 ILCS 5.0/24-1.6-A-2,AGG UUW/PERSON/NO FOID        ,19514344,104083
JA366573,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19514344,104083
JA366826,10-8-526,CTA - SELLING ON PROPERTY (98-126-1.1),19514393,104084
JA366826,10-8-526,CTA - TRESPASS ON/REMAIN (98-126-1.14B),19514393,104084
JA367042,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,19514482,104085
JA367543,720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,13968766,104086
JA367543,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,13968766,104086
JA367930,720 ILCS 5.0/12-3.05-E-1,AGG BATTERY/DISCHARGE FIREARM,,104087
JA367930,720 ILCS 5.0/9-1-A-1,MURDER - FIRST DEGREE,,104087
JA368006,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19514885,104088
JA368006,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19514885,104088
JA368006,720 ILCS 5.0/32-10-A,VIOLATION BAIL BOND - CLASS A OFFENSE,19514885,104088
JA368103,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19514910,104090
JA368103,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19514910,104090
JA368252,625 ILCS 40.0/2-4,RESISTANCE TO OFFICER,19514956,104091
JA368252,625 ILCS 5.0/3-701-1,NO VALID REGISTRATION,19514956,104091
JA368252,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,19514956,104091
JA368252,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,19514956,104091
JA368252,720 ILCS 5.0/26-1-A-1,DISORDERLY CONDUCT - BREACH OF PEACE,19514956,104091
JA368180,720 ILCS 5.0/12-2-B-4,AGG ASSAULT/PEACE OFFICER/WEAPON,19514936,104092
JA368180,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19514936,104092
JA368180,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",19514936,104092
JA368180,720 ILCS 5.0/12-2-B-4,AGG ASSAULT/PEACE OFFICER/WEAPON,19514936,104093
JA368180,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19514936,104093
JA368180,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",19514936,104093
JA368833,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19515121,104095
JA368833,720 ILCS 5.0/26-1-A-1,DISORDERLY CONDUCT - BREACH OF PEACE,19515121,104095
JA368833,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19515121,104095
JA368833,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19515121,104096
JA368833,720 ILCS 5.0/26-1-A-1,DISORDERLY CONDUCT - BREACH OF PEACE,19515121,104096
JA368833,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19515121,104096
JA369032,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19515128,104097
JA369032,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19515128,104097
JA368766,625 ILCS 5.0/11-501-A-1,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL BAC 0.08,,104098
JA368766,625 ILCS 5.0/11-501-A-2,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,,104098
JA368766,625 ILCS 5.0/11-601-A,IVC - FAIL TO REDUCE SPEED,,104098
JA368766,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,,104098
JA369192,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19515249,104099
JA369237,720 ILCS 5.0/24-1.5-A,RECKLESS DISCH FIREARM - ENDANGER,19515277,104100
JA369237,720 ILCS 5.0/24-1.7-A,ARMED HABITUAL CRIMINAL,19515277,104100
JA369237,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19515277,104100
JA369317,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,19515366,104101
JA369317,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19515366,104101
JA369317,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19515366,104101
JA369402,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON POSSES WEAPON/2ND+,19515375,104102
JA369402,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19515375,104102
JA369402,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19515375,104102
JA369402,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON POSSES WEAPON/2ND+,19515375,104103
JA369402,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19515375,104103
JA369402,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19515375,104103
JA369432,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19515391,104104
JA369432,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300 ,19515391,104104
JA369738,10-8-515,SOLICITING UNLAWFUL BUSINESS,19515506,104105
JA369738,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19515506,104105
JA369738,720 ILCS 550.0/4-C,CANNABIS - POSSESS 10-30 GRMS,19515506,104105
JA369738,10-8-515,SOLICITING UNLAWFUL BUSINESS,19515506,104106
